1, "Az agy nagyobb részei a nagyagy, a kisagy, és az agytörzs.",
2, "Az agykutatás minden olyan tudományterületet magába foglal, melyek az aggyal vagy a viselkedéssel foglalkoznak.",
3, "Az agy vérátáramlása a teljes vérellátás 20%-át teszi ki, noha tömege a testtömegnek csak kb. 2%-a.",
