"Result ID","Start Time ","Last Seen ","Duration ","Batch","Worker ID ","Worker Type ","MTurk Worker ID (Confirmation Code) ","State ","Message "
"586","2020/12/03 20:05:46","2020/12/03 20:05:48","00:00:52","Default","899","Personal Multiple","none(none)","FAIL","Experiment aborted by user"
"822","2020/12/10 15:10:42","never","00:01:12","ELTE-krajcsi","1974","Personal Multiple","none(none)","FAIL","It's not allowed to reload this component (ID: 70). Study (ID: 70) is finished."
"568","2020/12/02 10:00:31","2020/12/02 10:00:32","00:01:21","Default","903","Personal Multiple","none(none)","FAIL","Experiment aborted by user"
"759","2020/12/09 08:23:11","2020/12/09 08:23:11","00:01:38","ELTE-krajcsi","1957","Personal Multiple","none(none)","FAIL","Experiment aborted by user"
"537","2020/11/30 15:39:10","2020/11/30 15:39:11","00:01:51","Default","890","Personal Multiple","none(none)","FAIL","It's not allowed to reload this component (ID: 70). Study (ID: 70) is finished."
"531","2020/11/30 15:35:29","2020/11/30 15:37:29","00:02:00 (not finished yet)","Default","890","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"821","2020/12/10 15:09:19","2020/12/10 15:11:21","00:02:01 (not finished yet)","ELTE-krajcsi","1974","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"535","2020/11/30 15:38:21","2020/11/30 15:40:27","00:02:06 (not finished yet)","Default","890","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"560","2020/12/01 19:17:45","2020/12/01 19:19:46","00:02:56","Default","901","Personal Multiple","none(none)","FAIL","It's not allowed to reload this component (ID: 70). Study (ID: 70) is finished."
"753","2020/12/08 23:46:23","2020/12/08 23:48:28","00:02:59","ELTE-krajcsi","1956","Personal Multiple","none(none)","FAIL","Experiment aborted by user"
"536","2020/11/30 15:38:58","2020/11/30 15:42:39","00:03:41 (not finished yet)","Default","890","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"510","2020/11/28 14:32:53","2020/11/28 14:36:53","00:04:00 (not finished yet)","Default","865","Personal Multiple","none(none)","DATA_RETRIEVED","none"
"760","2020/12/09 08:59:03","2020/12/09 09:07:03","00:08:24","ELTE-krajcsi","1957","Personal Multiple","none(none)","FAIL","Experiment aborted by user"
"874","2020/12/13 18:15:47","2020/12/13 18:23:49","00:09:26","ELTE-krajcsi","1976","Personal Multiple","none(none)","FAIL","Experiment aborted by user"
"765","2020/12/09 09:11:26","2020/12/09 09:19:27","00:09:32","ELTE-krajcsi","1957","Personal Multiple","none(none)","FAIL","Experiment aborted by user"
"770","2020/12/09 10:35:35","2020/12/09 10:51:36","00:16:04","ELTE-krajcsi","1957","Personal Multiple","none(none)","FINISHED","none"
"797","2020/12/09 19:52:18","2020/12/09 20:08:23","00:16:34","ELTE-krajcsi","1968","Personal Multiple","none(none)","FINISHED","none"
"783","2020/12/09 15:27:12","2020/12/09 15:43:14","00:17:22","ELTE-krajcsi","1965","Personal Multiple","none(none)","FINISHED","none"
"521","2020/11/29 16:02:42","2020/11/29 16:18:44","00:17:53","Default","880","Personal Multiple","none(none)","FINISHED","none"
"500","2020/11/28 10:36:34","2020/11/28 10:52:36","00:17:55","Default","860","Personal Multiple","none(none)","FINISHED","none"
"512","2020/11/28 15:59:30","2020/11/28 16:15:33","00:17:58","Default","870","Personal Multiple","none(none)","FINISHED","none"
"754","2020/12/08 23:49:37","2020/12/09 00:05:40","00:18:00","ELTE-krajcsi","1956","Personal Multiple","none(none)","FINISHED","none"
"876","2020/12/15 12:40:16","2020/12/15 12:58:17","00:18:11","ELTE-krajcsi","1988","Personal Multiple","none(none)","FINISHED","none"
