"datetime","response","response_time","stim","total_responses","workerId","count_test_stimpres","response_test_response","response_time_test_response","st_corr","type","tq"
"Sat May 16 2020 18","left","2247","prototype5.png","61","1761",NA,NA,NA,1,"prototype","x"
"Sat May 16 2020 18","right","1190","p1sarrshacol2.png","62","1761",NA,NA,NA,1,"sarrshacol","x"
"Sat May 16 2020 18","right","1421","p2sarrcol1.png","63","1761",NA,NA,NA,1,"sarrcol","x"
"Sat May 16 2020 18","right","1030","p5sarr2.png","64","1761",NA,NA,NA,1,"sarr","x"
"Sat May 16 2020 18","right","914","p10sarr2.png","65","1761",NA,NA,NA,1,"diffarr","x"
"Sat May 16 2020 18","right","2887","prototype1.png","66","1761",NA,NA,NA,0,"prototype","x"
"Sat May 16 2020 18","left","936","prototype4.png","67","1761",NA,NA,NA,1,"prototype","x"
"Sat May 16 2020 18","right","930","p2sarrshacol2.png","68","1761",NA,NA,NA,1,"sarrshacol","x"
"Sat May 16 2020 18","right","876","p1sarr2.png","69","1761",NA,NA,NA,1,"sarr","x"
"Sat May 16 2020 18","right","998","p6sarr2.png","70","1761",NA,NA,NA,1,"diffarr","x"
"Sat May 16 2020 18","right","852","prototype2.png","71","1761",NA,NA,NA,0,"prototype","x"
"Sat May 16 2020 18","right","914","p1sarrshacol1.png","72","1761",NA,NA,NA,1,"sarrshacol","x"
"Sat May 16 2020 18","right","1319","prototype1.png","73","1761",NA,NA,NA,0,"prototype","x"
"Sat May 16 2020 18","left","1549","prototype5.png","74","1761",NA,NA,NA,1,"prototype","x"
"Sat May 16 2020 18","left","1175","prototype3.png","75","1761",NA,NA,NA,1,"prototype","x"
"Sat May 16 2020 18","right","2227","prototype2.png","76","1761",NA,NA,NA,0,"prototype","x"
"Sat May 16 2020 18","right","2843","p5sarrsha3.png","77","1761","0","right","2843",0,"sarrsha","new"
"Sat May 16 2020 18","down","1828","p2sarrshacol1.png","78","1761","1","down","1828",0,"sarrshacol","fam"
"Sat May 16 2020 18","left","1854","p4sarr4.png","79","1761","2","left","1854",0,"sarr","new"
"Sat May 16 2020 18","down","1759","p5sarrsha2.png","80","1761","3","down","1759",0,"sarrsha","fam"
"Sat May 16 2020 18","left","2837","p7sarr2.png","81","1761","4","left","2837",0,"diffarr","fam"
"Sat May 16 2020 18","right","1514","p1sarrsha4.png","82","1761","5","right","1514",0,"sarrsha","new"
"Sat May 16 2020 18","None","3008","p3sarrcol2.png","83","1761","6","None","3008",0,"sarrcol","fam"
"Sat May 16 2020 18","left","1044","p3sarrcol3.png","84","1761","7","left","1044",0,"sarrcol","new"
"Sat May 16 2020 18","left","1752","p1sarrsha1.png","85","1761","8","left","1752",0,"sarrsha","fam"
"Sat May 16 2020 18","down","1615","p4sarr1.png","86","1761","9","down","1615",0,"sarr","fam"
"Sat May 16 2020 18","right","1101","p9sarr2.png","87","1761","10","right","1101",0,"diffarr","fam"
"Sat May 16 2020 18","left","1849","p1sarr2.png","88","1761","11","left","1849",0,"sarr","fam"
"Sat May 16 2020 18","left","1636","p3sarrcol4.png","89","1761","12","left","1636",0,"sarrcol","new"
"Sat May 16 2020 18","right","2276","p2sarrshacol2.png","90","1761","13","right","2276",0,"sarrshacol","fam"
"Sat May 16 2020 18","down","1702","p6sarr1.png","91","1761","14","down","1702",0,"diffarr","fam"
"Sat May 16 2020 18","right","1945","p4sarrshacol3.png","92","1761","15","right","1945",0,"sarrshacol","new"
"Sat May 16 2020 18","right","2365","p4sarrshacol4.png","93","1761","16","right","2365",0,"sarrshacol","new"
"Sat May 16 2020 18","right","1505","p2sarrcol1.png","94","1761","17","right","1505",0,"sarrcol","fam"
"Sat May 16 2020 18","right","1193","p1sarr4.png","95","1761","18","right","1193",0,"sarr","new"
"Sat May 16 2020 18","left","1570","p10sarr1.png","96","1761","19","left","1570",0,"diffarr","fam"
"Sat May 16 2020 18","right","1010","p8sarr3.png","97","1761","20","right","1010",0,"diffarr","new"
"Sat May 16 2020 18","right","1291","p9sarr4.png","98","1761","21","right","1291",0,"diffarr","new"
"Sat May 16 2020 18","left","1825","p5sarrcol2.png","99","1761","22","left","1825",0,"sarrcol","fam"
"Sat May 16 2020 18","right","1880","p7sarr4.png","100","1761","23","right","1880",0,"diffarr","new"
"Sat May 16 2020 18","right","1350","p3sarrsha3.png","101","1761","24","right","1350",0,"sarrsha","new"
"Sat May 16 2020 18","right","2065","p8sarr4.png","102","1761","25","right","2065",0,"diffarr","new"
"Sat May 16 2020 18","right","1720","p2sarrshacol4.png","103","1761","26","right","1720",0,"sarrshacol","new"
"Sat May 16 2020 18","left","2015","p4sarrshacol1.png","104","1761","27","left","2015",0,"sarrshacol","fam"
"Sat May 16 2020 18","right","2166","p1sarrshacol3.png","105","1761","28","right","2166",0,"sarrshacol","new"
"Sat May 16 2020 18","down","2349","p2sarrsha1.png","106","1761","29","down","2349",0,"sarrsha","fam"
"Sat May 16 2020 18","right","1189","p3sarr2.png","107","1761","30","right","1189",0,"sarr","fam"
"Sat May 16 2020 18","right","1185","p3sarrshacol3.png","108","1761","31","right","1185",0,"sarrshacol","new"
"Sat May 16 2020 18","down","2208","p2sarrcol4.png","109","1761","32","down","2208",0,"sarrcol","new"
"Sat May 16 2020 18","right","2048","p5sarrcol1.png","110","1761","33","right","2048",0,"sarrcol","fam"
"Sat May 16 2020 18","right","1522","p8sarr2.png","111","1761","34","right","1522",0,"diffarr","fam"
"Sat May 16 2020 18","right","2922","p5sarr3.png","112","1761","35","right","2922",0,"sarr","new"
"Sat May 16 2020 18","left","2379","p7sarr1.png","113","1761","36","left","2379",0,"diffarr","fam"
"Sat May 16 2020 18","right","2407","p1sarrcol4.png","114","1761","37","right","2407",0,"sarrcol","new"
"Sat May 16 2020 18","None","3014","p3sarrsha4.png","115","1761","38","None","3014",0,"sarrsha","new"
"Sat May 16 2020 18","right","1822","p3sarr1.png","116","1761","39","right","1822",0,"sarr","fam"
"Sat May 16 2020 18","right","1900","p2sarrsha3.png","117","1761","40","right","1900",0,"sarrsha","new"
"Sat May 16 2020 18","right","1440","p9sarr3.png","118","1761","41","right","1440",0,"diffarr","new"
"Sat May 16 2020 18","right","1693","p10sarr4.png","119","1761","42","right","1693",0,"diffarr","new"
"Sat May 16 2020 18","right","1114","p4sarrcol1.png","120","1761","43","right","1114",0,"sarrcol","fam"
"Sat May 16 2020 18","right","1534","p5sarrshacol4.png","121","1761","44","right","1534",0,"sarrshacol","new"
"Sat May 16 2020 18","right","2057","p3sarr3.png","122","1761","45","right","2057",0,"sarr","new"
"Sat May 16 2020 18","right","1826","p2sarr3.png","123","1761","46","right","1826",0,"sarr","new"
"Sat May 16 2020 18","down","1622","p4sarr2.png","124","1761","47","down","1622",0,"sarr","fam"
"Sat May 16 2020 18","right","1428","p2sarrshacol3.png","125","1761","48","right","1428",0,"sarrshacol","new"
"Sat May 16 2020 18","None","3008","p2sarrcol2.png","126","1761","49","None","3008",0,"sarrcol","fam"
"Sat May 16 2020 18","right","1439","p4sarrsha3.png","127","1761","50","right","1439",0,"sarrsha","new"
"Sat May 16 2020 18","right","2200","p4sarrsha1.png","128","1761","51","right","2200",0,"sarrsha","fam"
"Sat May 16 2020 18","right","1473","p5sarrshacol3.png","129","1761","52","right","1473",0,"sarrshacol","new"
"Sat May 16 2020 18","right","1045","p5sarrshacol2.png","130","1761","53","right","1045",0,"sarrshacol","fam"
"Sat May 16 2020 18","right","1880","p1sarrsha3.png","131","1761","54","right","1880",0,"sarrsha","new"
"Sat May 16 2020 18","right","1562","p3sarrshacol2.png","132","1761","55","right","1562",0,"sarrshacol","fam"
"Sat May 16 2020 18","down","2553","p10sarr2.png","133","1761","56","down","2553",0,"diffarr","fam"
"Sat May 16 2020 18","down","1694","p5sarrcol3.png","134","1761","57","down","1694",0,"sarrcol","new"
"Sat May 16 2020 18","left","1670","p5sarr4.png","135","1761","58","left","1670",0,"sarr","new"
"Sat May 16 2020 18","right","1535","p3sarrsha1.png","136","1761","59","right","1535",0,"sarrsha","fam"
"Sat May 16 2020 18","right","984","p5sarr1.png","137","1761","60","right","984",0,"sarr","fam"
"Sat May 16 2020 18","right","871","p1sarrcol2.png","138","1761","61","right","871",0,"sarrcol","fam"
"Sat May 16 2020 18","right","1243","p6sarr4.png","139","1761","62","right","1243",0,"diffarr","new"
"Sat May 16 2020 18","right","1752","p6sarr3.png","140","1761","63","right","1752",0,"diffarr","new"
"Sat May 16 2020 18","down","2026","p4sarr3.png","141","1761","64","down","2026",0,"sarr","new"
"Sat May 16 2020 18","right","1748","p1sarrsha2.png","142","1761","65","right","1748",0,"sarrsha","fam"
"Sat May 16 2020 18","right","1671","p2sarrsha4.png","143","1761","66","right","1671",0,"sarrsha","new"
"Sat May 16 2020 18","left","1671","p3sarrcol1.png","144","1761","67","left","1671",0,"sarrcol","fam"
"Sat May 16 2020 18","right","1965","p2sarrsha2.png","145","1761","68","right","1965",0,"sarrsha","fam"
"Sat May 16 2020 18","right","1868","p6sarr2.png","146","1761","69","right","1868",0,"diffarr","fam"
"Sat May 16 2020 18","right","842","p1sarrshacol2.png","147","1761","70","right","842",0,"sarrshacol","fam"
"Sat May 16 2020 18","right","2564","p4sarrsha2.png","148","1761","71","right","2564",0,"sarrsha","fam"
"Sat May 16 2020 18","left","1786","p2sarrcol3.png","149","1761","72","left","1786",0,"sarrcol","new"
"Sat May 16 2020 18","right","1931","p4sarrcol2.png","150","1761","73","right","1931",0,"sarrcol","fam"
"Sat May 16 2020 18","right","1800","p5sarrsha4.png","151","1761","74","right","1800",0,"sarrsha","new"
"Sat May 16 2020 18","right","1428","p4sarrcol3.png","152","1761","75","right","1428",0,"sarrcol","new"
"Sat May 16 2020 18","right","1639","p2sarr2.png","153","1761","76","right","1639",0,"sarr","fam"
"Sat May 16 2020 18","right","1419","p5sarr2.png","154","1761","77","right","1419",0,"sarr","fam"
"Sat May 16 2020 18","down","2008","p7sarr3.png","155","1761","78","down","2008",0,"diffarr","new"
"Sat May 16 2020 18","right","1351","p5sarrcol4.png","156","1761","79","right","1351",0,"sarrcol","new"
"Sat May 16 2020 18","right","921","p10sarr3.png","157","1761","80","right","921",0,"diffarr","new"
"Sat May 16 2020 18","right","1053","p9sarr1.png","158","1761","81","right","1053",0,"diffarr","fam"
"Sat May 16 2020 18","right","1092","p1sarrcol3.png","159","1761","82","right","1092",0,"sarrcol","new"
"Sat May 16 2020 18","left","1587","p4sarrsha4.png","160","1761","83","left","1587",0,"sarrsha","new"
"Sat May 16 2020 18","right","1547","p4sarrshacol2.png","161","1761","84","right","1547",0,"sarrshacol","fam"
"Sat May 16 2020 18","right","1604","p3sarr4.png","162","1761","85","right","1604",0,"sarr","new"
"Sat May 16 2020 18","right","1807","p2sarr1.png","163","1761","86","right","1807",0,"sarr","fam"
"Sat May 16 2020 18","left","1599","p3sarrshacol1.png","164","1761","87","left","1599",0,"sarrshacol","fam"
"Sat May 16 2020 18","right","1289","p8sarr1.png","165","1761","88","right","1289",0,"diffarr","fam"
"Sat May 16 2020 18","right","917","p3sarrsha2.png","166","1761","89","right","917",0,"sarrsha","fam"
"Sat May 16 2020 18","down","1965","p1sarrcol1.png","167","1761","90","down","1965",0,"sarrcol","fam"
"Sat May 16 2020 18","right","1218","p1sarrshacol4.png","168","1761","91","right","1218",0,"sarrshacol","new"
"Sat May 16 2020 18","left","1676","p4sarrcol4.png","169","1761","92","left","1676",0,"sarrcol","new"
"Sat May 16 2020 18","right","873","p5sarrsha1.png","170","1761","93","right","873",0,"sarrsha","fam"
"Sat May 16 2020 18","right","927","p1sarr3.png","171","1761","94","right","927",0,"sarr","new"
"Sat May 16 2020 18","right","672","p1sarr1.png","172","1761","95","right","672",0,"sarr","fam"
"Sat May 16 2020 18","down","2829","p2sarr4.png","173","1761","96","down","2829",0,"sarr","new"
"Sat May 16 2020 18","right","1371","p1sarrshacol1.png","174","1761","97","right","1371",0,"sarrshacol","fam"
"Sat May 16 2020 18","left","2120","p3sarrshacol4.png","175","1761","98","left","2120",0,"sarrshacol","new"
"Sat May 16 2020 18","right","1591","p5sarrshacol1.png","176","1761","99","right","1591",0,"sarrshacol","fam"
"Fri May 15 2020 08","right","2604","p6sarr1.png","1","1734",NA,NA,NA,1,"diffarr","x"
"Fri May 15 2020 08","left","1223","prototype3.png","2","1734",NA,NA,NA,1,"prototype","x"
"Fri May 15 2020 08","right","1125","p3sarr1.png","3","1734",NA,NA,NA,1,"sarr","x"
"Fri May 15 2020 08","right","978","p9sarr2.png","4","1734",NA,NA,NA,1,"diffarr","x"
"Fri May 15 2020 08","left","1335","p4sarr2.png","5","1734",NA,NA,NA,0,"sarr","x"
"Fri May 15 2020 08","right","1247","p4sarrshacol2.png","6","1734",NA,NA,NA,1,"sarrshacol","x"
"Fri May 15 2020 08","left","1204","p5sarrsha2.png","7","1734",NA,NA,NA,0,"sarrsha","x"
"Fri May 15 2020 08","right","2172","p2sarr1.png","8","1734",NA,NA,NA,1,"sarr","x"
"Fri May 15 2020 08","right","1485","prototype4.png","9","1734",NA,NA,NA,0,"prototype","x"
"Fri May 15 2020 08","right","2488","p5sarrsha1.png","10","1734",NA,NA,NA,1,"sarrsha","x"
"Fri May 15 2020 08","None","3002","p5sarrcol1.png","11","1734",NA,NA,NA,0,"sarrcol","x"
"Fri May 15 2020 08","right","1672","p8sarr2.png","12","1734",NA,NA,NA,1,"diffarr","x"
"Fri May 15 2020 08","right","2324","p5sarrshacol2.png","13","1734",NA,NA,NA,1,"sarrshacol","x"
"Fri May 15 2020 08","left","1719","p8sarr1.png","14","1734",NA,NA,NA,0,"diffarr","x"
"Fri May 15 2020 08","right","2718","p3sarrcol1.png","15","1734",NA,NA,NA,1,"sarrcol","x"
"Fri May 15 2020 08","left","2978","prototype1.png","16","1734",NA,NA,NA,1,"prototype","x"
"Fri May 15 2020 08","left","1687","p2sarr2.png","17","1734",NA,NA,NA,0,"sarr","x"
"Fri May 15 2020 08","right","1880","p3sarrsha2.png","18","1734",NA,NA,NA,1,"sarrsha","x"
"Fri May 15 2020 08","left","1766","prototype4.png","19","1734",NA,NA,NA,1,"prototype","x"
"Fri May 15 2020 08","left","2783","p3sarrsha1.png","20","1734",NA,NA,NA,0,"sarrsha","x"
