"","datetime","response","response_time","stim","total_responses","workerId","count_test_stimpres","response_test_response","response_time_test_response","st_corr","type","tq","DTF","DTAF","DTAN","DTN_byPhase","stimpresseq","DTPPm","DTPPsd"
"35","Sat May 16 2020 18","right",1693,"prototype1.png",36,"1761",NA,NA,NA,0,"prototype","x",0,0,0,0,35,13.7,5.80560804272582
"36","Sat May 16 2020 18","right",1232,"p4sarrshacol1.png",37,"1761",NA,NA,NA,1,"sarrshacol","x",3,11.4,12.0526315789474,12.6666666666667,36,11.5573770491803,4.89736184138608
"37","Sat May 16 2020 18","left",1077,"prototype3.png",38,"1761",NA,NA,NA,1,"prototype","x",0,0,0,0,37,11.6612903225806,6.08934449186122
"38","Sat May 16 2020 18","left",2086,"prototype3.png",39,"1761",NA,NA,NA,1,"prototype","x",0,0,0,0,38,11.4761904761905,6.21615258784658
"39","Sat May 16 2020 18","right",782,"p7sarr1.png",40,"1761",NA,NA,NA,1,"diffarr","x",17,17.8,15.8421052631579,16.8888888888889,39,17.5,3.07059789431495
"40","Sat May 16 2020 18","right",1731,"p1sarrsha1.png",41,"1761",NA,NA,NA,1,"sarrsha","x",4,13,13.2105263157895,13.8888888888889,40,14.0769230769231,4.88079044670178
"41","Sat May 16 2020 18","left",2419,"prototype5.png",42,"1761",NA,NA,NA,1,"prototype","x",0,0,0,0,41,10.3636363636364,5.54599332473832
"42","Sat May 16 2020 18","right",1615,"p3sarrshacol2.png",43,"1761",NA,NA,NA,1,"sarrshacol","x",3,11.4,11.4736842105263,11.8888888888889,42,12.044776119403,5.72192178942264
"43","Sat May 16 2020 18","left",1741,"p3sarrcol2.png",44,"1761",NA,NA,NA,0,"sarrcol","x",3,12,12.2631578947368,12.7777777777778,43,12.6323529411765,5.52579949443316
"44","Sat May 16 2020 18","right",1750,"p3sarr2.png",45,"1761",NA,NA,NA,1,"sarr","x",5,12.2,13.8421052631579,14.2222222222222,44,12.5942028985507,5.29516661010917
"45","Sat May 16 2020 18","right",1755,"p2sarrsha1.png",46,"1761",NA,NA,NA,1,"sarrsha","x",4,9.8,9.63157894736842,10,45,10.9428571428571,3.91535703403071
"46","Sat May 16 2020 18","right",1517,"p4sarrsha1.png",47,"1761",NA,NA,NA,1,"sarrsha","x",5,11.8,12.2105263157895,12.6666666666667,46,12.056338028169,4.34211049390126
"47","Sat May 16 2020 18","right",1213,"p1sarrcol1.png",48,"1761",NA,NA,NA,1,"sarrcol","x",4,13,13.5789473684211,14.1111111111111,47,14.0277777777778,4.53770501720431
"48","Sat May 16 2020 18","right",1304,"p1sarrsha2.png",49,"1761",NA,NA,NA,1,"sarrsha","x",4,13,13.5789473684211,14.2222222222222,48,13.9452054794521,4.82438945751142
"49","Sat May 16 2020 18","right",1013,"p7sarr2.png",50,"1761",NA,NA,NA,1,"diffarr","x",15,16.4,15.7894736842105,16.3333333333333,49,16.3918918918919,3.2385417298682
"50","Sat May 16 2020 18","None",3009,"p4sarr1.png",51,"1761",NA,NA,NA,0,"sarr","x",6,12,12.7368421052632,13.2222222222222,50,12.56,4.30034568063696
"51","Sat May 16 2020 18","right",959,"p10sarr1.png",52,"1761",NA,NA,NA,1,"diffarr","x",18,17.6,14.8421052631579,14.7777777777778,51,17.3421052631579,2.95545882091178
