acc,accuracy,average_response_time,avg_rt,background,bidi,browser_codename,browser_name,browser_version,canvas_backend,clock_backend,color_backend,compensation,coordinates,count_end,count_experiment,count_osweb,count_prestudy,count_prestudy_isi,count_prestudy_sequence,count_prestudy_stimpres,count_start,count_study,count_study_coroutines,count_study_isi,count_study_logger,count_study_response,count_study_sequence,count_study_start,count_study_stimpres,count_test,count_test_coroutines,count_test_isi,count_test_logger,count_test_response,count_test_sequence,count_test_start,count_test_stimpres,date_startdate,date_startdateUTC,date_starttime,datetime,description,disable_garbage_collection,experiment_debug,experiment_parameters,experiment_path,experiment_pilot,experiment_taskname,experiment_taskversion,fampict,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,jatosStudyResultId,jatosVersion,keyboard_backend,mouse_backend,opensesame_codename,opensesame_version,repeat_cycle,response,response_start,response_study_start,response_test_start,response_time,response_time_start,response_time_study_start,response_time_test_start,round_decimals,sampler_backend,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,sessionid,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,stim,subject_nr,subject_parity,system_os,time_prestudy,time_prestudy_isi,time_prestudy_stimpres,time_start,time_study,time_study_isi,time_study_logger,time_study_response,time_study_start,time_study_stimpres,time_test,time_test_isi,time_test_logger,time_test_response,time_test_start,time_test_stimpres,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
undefined,undefined,undefined,undefined,white,no,Mozilla,Netscape,5.0 (Windows),xpyriment,legacy,legacy,0,uniform,0,0,0,0,24,24,24,0,0,10,10,10,10,10,0,10,0,,,,,,0,,01-02-22,01-02-22,10:57:57,Tue Mar 01 2022 10:57:57 GMT+0100 (közép-európai téli idő),The main experiment item,yes,0,0,C:/Users/rrics/Documents/!!ResearchBMECOGSCI/gnet,0,0,0,prototype2.png,no,mono,no,18,no,black,no,no,768,1161,3.5.6,legacy,xpyriment,osweb,1.3.13,0,space,space,space,,19178,25006,19178,,2,legacy,1040,1920,24,1080,24,-8,-8,1920,1646128727693,1024,2,48000,-16,experiment,p5sarrcol1.png,1,odd,Win32,66,136980,133976,66,66,227961,229471,222977,138501,222977,66,,,,,,visual_patterns,0,0,0,yes,1366
undefined,undefined,undefined,undefined,white,no,Mozilla,Netscape,5.0 (Windows),xpyriment,legacy,legacy,0,uniform,0,0,0,0,24,24,24,0,0,11,11,11,11,11,0,11,0,,,,,,0,,01-02-22,01-02-22,10:57:57,Tue Mar 01 2022 10:57:57 GMT+0100 (közép-európai téli idő),The main experiment item,yes,0,0,C:/Users/rrics/Documents/!!ResearchBMECOGSCI/gnet,0,0,0,prototype2.png,no,mono,no,18,no,black,no,no,768,1161,3.5.6,legacy,xpyriment,osweb,1.3.13,0,space,space,space,,19178,25006,19178,,2,legacy,1040,1920,24,1080,24,-8,-8,1920,1646128727693,1024,2,48000,-16,experiment,p8sarr2.png,1,odd,Win32,66,136980,133976,66,66,234477,235981,229496,138501,229496,66,,,,,,visual_patterns,0,0,0,yes,1366
undefined,undefined,undefined,undefined,white,no,Mozilla,Netscape,5.0 (Windows),xpyriment,legacy,legacy,0,uniform,0,0,0,0,24,24,24,0,0,12,12,12,12,12,0,12,0,,,,,,0,,01-02-22,01-02-22,10:57:57,Tue Mar 01 2022 10:57:57 GMT+0100 (közép-európai téli idő),The main experiment item,yes,0,0,C:/Users/rrics/Documents/!!ResearchBMECOGSCI/gnet,0,0,0,prototype2.png,no,mono,no,18,no,black,no,no,768,1161,3.5.6,legacy,xpyriment,osweb,1.3.13,0,space,space,space,,19178,25006,19178,,2,legacy,1040,1920,24,1080,24,-8,-8,1920,1646128727693,1024,2,48000,-16,experiment,p5sarrshacol2.png,1,odd,Win32,66,136980,133976,66,66,241002,242503,236011,138501,236011,66,,,,,,visual_patterns,0,0,0,yes,1366
undefined,undefined,undefined,undefined,white,no,Mozilla,Netscape,5.0 (Windows),xpyriment,legacy,legacy,0,uniform,0,0,0,0,24,24,24,0,0,13,13,13,13,13,0,13,0,,,,,,0,,01-02-22,01-02-22,10:57:57,Tue Mar 01 2022 10:57:57 GMT+0100 (közép-európai téli idő),The main experiment item,yes,0,0,C:/Users/rrics/Documents/!!ResearchBMECOGSCI/gnet,0,0,0,prototype2.png,no,mono,no,18,no,black,no,no,768,1161,3.5.6,legacy,xpyriment,osweb,1.3.13,0,space,space,space,,19178,25006,19178,,2,legacy,1040,1920,24,1080,24,-8,-8,1920,1646128727693,1024,2,48000,-16,experiment,p8sarr1.png,1,odd,Win32,66,136980,133976,66,66,247515,249026,242533,138501,242533,66,,,,,,visual_patterns,0,0,0,yes,1366
undefined,undefined,undefined,undefined,white,no,Mozilla,Netscape,5.0 (Windows),xpyriment,legacy,legacy,0,uniform,0,0,0,0,24,24,24,0,0,14,14,14,14,14,0,14,0,,,,,,0,,01-02-22,01-02-22,10:57:57,Tue Mar 01 2022 10:57:57 GMT+0100 (közép-európai téli idő),The main experiment item,yes,0,0,C:/Users/rrics/Documents/!!ResearchBMECOGSCI/gnet,0,0,0,prototype2.png,no,mono,no,18,no,black,no,no,768,1161,3.5.6,legacy,xpyriment,osweb,1.3.13,0,space,space,space,,19178,25006,19178,,2,legacy,1040,1920,24,1080,24,-8,-8,1920,1646128727693,1024,2,48000,-16,experiment,p3sarrcol1.png,1,odd,Win32,66,136980,133976,66,66,254056,255562,249068,138501,249068,66,,,,,,visual_patterns,0,0,0,yes,1366
undefined,undefined,undefined,undefined,white,no,Mozilla,Netscape,5.0 (Windows),xpyriment,legacy,legacy,0,uniform,0,0,0,0,24,24,24,0,0,15,15,15,15,15,0,15,0,,,,,,0,,01-02-22,01-02-22,10:57:57,Tue Mar 01 2022 10:57:57 GMT+0100 (közép-európai téli idő),The main experiment item,yes,0,0,C:/Users/rrics/Documents/!!ResearchBMECOGSCI/gnet,0,0,0,prototype2.png,no,mono,no,18,no,black,no,no,768,1161,3.5.6,legacy,xpyriment,osweb,1.3.13,0,space,space,space,,19178,25006,19178,,2,legacy,1040,1920,24,1080,24,-8,-8,1920,1646128727693,1024,2,48000,-16,experiment,prototype1.png,1,odd,Win32,66,136980,133976,66,66,260582,262085,255582,138501,255582,66,,,,,,visual_patterns,0,0,0,yes,1366
undefined,undefined,undefined,undefined,white,no,Mozilla,Netscape,5.0 (Windows),xpyriment,legacy,legacy,0,uniform,0,0,0,0,24,24,24,0,0,16,16,16,16,16,0,16,0,,,,,,0,,01-02-22,01-02-22,10:57:57,Tue Mar 01 2022 10:57:57 GMT+0100 (közép-európai téli idő),The main experiment item,yes,0,0,C:/Users/rrics/Documents/!!ResearchBMECOGSCI/gnet,0,0,0,prototype2.png,no,mono,no,18,no,black,no,no,768,1161,3.5.6,legacy,xpyriment,osweb,1.3.13,0,space,space,space,,19178,25006,19178,,2,legacy,1040,1920,24,1080,24,-8,-8,1920,1646128727693,1024,2,48000,-16,experiment,p2sarr2.png,1,odd,Win32,66,136980,133976,66,66,267114,268622,262115,138501,262115,66,,,,,,visual_patterns,0,0,0,yes,1366
undefined,undefined,undefined,undefined,white,no,Mozilla,Netscape,5.0 (Windows),xpyriment,legacy,legacy,0,uniform,0,0,0,0,24,24,24,0,0,17,17,17,17,17,0,17,0,,,,,,0,,01-02-22,01-02-22,10:57:57,Tue Mar 01 2022 10:57:57 GMT+0100 (közép-európai téli idő),The main experiment item,yes,0,0,C:/Users/rrics/Documents/!!ResearchBMECOGSCI/gnet,0,0,0,prototype2.png,no,mono,no,18,no,black,no,no,768,1161,3.5.6,legacy,xpyriment,osweb,1.3.13,0,space,space,space,,19178,25006,19178,,2,legacy,1040,1920,24,1080,24,-8,-8,1920,1646128727693,1024,2,48000,-16,experiment,p3sarrsha2.png,1,odd,Win32,66,136980,133976,66,66,273644,275157,268644,138501,268644,66,,,,,,visual_patterns,0,0,0,yes,1366
undefined,undefined,undefined,undefined,white,no,Mozilla,Netscape,5.0 (Windows),xpyriment,legacy,legacy,0,uniform,0,0,0,0,24,24,24,0,0,18,18,18,18,18,0,18,0,,,,,,0,,01-02-22,01-02-22,10:57:57,Tue Mar 01 2022 10:57:57 GMT+0100 (közép-európai téli idő),The main experiment item,yes,0,0,C:/Users/rrics/Documents/!!ResearchBMECOGSCI/gnet,0,0,0,prototype2.png,no,mono,no,18,no,black,no,no,768,1161,3.5.6,legacy,xpyriment,osweb,1.3.13,0,space,space,space,,19178,25006,19178,,2,legacy,1040,1920,24,1080,24,-8,-8,1920,1646128727693,1024,2,48000,-16,experiment,prototype4.png,1,odd,Win32,66,136980,133976,66,66,280165,281667,275180,138501,275180,66,,,,,,visual_patterns,0,0,0,yes,1366
undefined,undefined,undefined,undefined,white,no,Mozilla,Netscape,5.0 (Windows),xpyriment,legacy,legacy,0,uniform,0,0,0,0,24,24,24,0,0,19,19,19,19,19,0,19,0,,,,,,0,,01-02-22,01-02-22,10:57:57,Tue Mar 01 2022 10:57:57 GMT+0100 (közép-európai téli idő),The main experiment item,yes,0,0,C:/Users/rrics/Documents/!!ResearchBMECOGSCI/gnet,0,0,0,prototype2.png,no,mono,no,18,no,black,no,no,768,1161,3.5.6,legacy,xpyriment,osweb,1.3.13,0,space,space,space,,19178,25006,19178,,2,legacy,1040,1920,24,1080,24,-8,-8,1920,1646128727693,1024,2,48000,-16,experiment,p3sarrsha1.png,1,odd,Win32,66,136980,133976,66,66,286674,288176,281687,138501,281687,66,,,,,,visual_patterns,0,0,0,yes,1366
