"","cell1","cell2","cell3","cell4","cell5","cell6","cell7","cell8","cell9","count_famrecall","count_prestudy_sequence","count_study_response","count_test_response","date_startdate","date_starttime","multichar_knowresp","p2dur","plc1","plc1c","plc1s","plc1sh","plc1x","plc1y","plc2","plc2c","plc2s","plc2sh","plc2x","plc2y","plc3","plc3c","plc3s","plc3sh","plc3x","plc3y","plc4","plc4c","plc4s","plc4sh","plc4x","plc4y","plc5","plc5c","plc5s","plc5sh","plc5x","plc5y","plcundefined","plcundefineds","plcundefinedsh","plcundefinedx","plcundefinedy","response_study_response","response_test_response","response_time_study_response","response_time_test_response","rtnr","sessionid","stim","type","tq"
"7492",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,61,"","","capsbutw5y",0,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","None",2645,3002,0,1682421790979,"p2sarr2.png","sarr","old"
"7493",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,62,"","","capsbutw5y",799,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","down",2645,2201,0,1682421790979,"p7sarr3.png","diffarr","new"
"7494",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,63,"","","capsbutw5y",1376,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","left",2645,1624,0,1682421790979,"p9sarr1.png","diffarr","old"
"7495",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,64,"","","capsbutw5y",2037,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","right",2645,963,0,1682421790979,"p1sarrcol3.png","sarrcol","new"
"7496",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,65,"","","capsbutw5y",973,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","left",2645,2027,0,1682421790979,"p4sarrsha4.png","sarrsha","new"
"7497",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,66,"","","capsbutw5y",1755,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","right",2645,1245,0,1682421790979,"p4sarrshacol2.png","sarrshacol","old"
"7498",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,67,"","","capsbutw5y",1345,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","right",2645,1655,0,1682421790979,"p3sarr4.png","sarr","new"
"7499",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,68,"","","capsbutw5y",909,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","left",2645,2091,0,1682421790979,"p2sarr1.png","sarr","old"
"7500",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,69,"","","capsbutw5y",1689,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","right",2645,1311,0,1682421790979,"p3sarrshacol1.png","sarrshacol","old"
"7501",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,70,"","","capsbutw5y",1135,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","right",2645,1865,0,1682421790979,"p8sarr1.png","diffarr","old"
"7502",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,71,"","","capsbutw5y",1959,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","right",2645,1041,0,1682421790979,"p3sarrsha2.png","sarrsha","old"
"7503",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,59,72,"","","capsbutw5y",941,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,"",NA,"",NA,NA,"right","left",2645,2059,0,1682421790979,"p1sarrcol1.png","sarrcol","old"
